location,size,total_sqft,bath,price,Place
Electronic City Phase II,2 BHK,1056,2,39.07,Bengaluru
Chikka Tirupathi,4 Bedroom,2600,5,120,Bengaluru
Uttarahalli,3 BHK,1440,2,62,Bengaluru
Lingadheeranahalli,3 BHK,1521,3,95,Bengaluru
Kothanur,2 BHK,1200,2,51,Bengaluru
Whitefield,2 BHK,1170,2,38,Bengaluru
Old Airport Road,4 BHK,2732,4,204,Bengaluru
Rajaji Nagar,4 BHK,3300,4,600,Bengaluru
Marathahalli,3 BHK,1310,3,63.25,Bengaluru
Gandhi Bazar,6 Bedroom,1020,6,370,Bengaluru
Whitefield,3 BHK,1800,2,70,Bengaluru
Whitefield,4 Bedroom,2785,5,295,Bengaluru
7th Phase JP Nagar,2 BHK,1000,2,38,Bengaluru
Gottigere,2 BHK,1100,2,40,Bengaluru
Sarjapur,3 Bedroom,2250,3,148,Bengaluru
Mysore Road,2 BHK,1175,2,73.5,Bengaluru
Bisuvanahalli,3 BHK,1180,3,48,Bengaluru
Raja Rajeshwari Nagar,3 BHK,1540,3,60,Bengaluru
Ramakrishnappa Layout,3 BHK,2770,4,290,Bengaluru
Manayata Tech Park,2 BHK,1100,2,48,Bengaluru
Kengeri,1 BHK,600,1,15,Bengaluru
Binny Pete,3 BHK,1755,3,122,Bengaluru
Thanisandra,4 Bedroom,2800,5,380,Bengaluru
Bellandur,3 BHK,1767,3,103,Bengaluru
 Thanisandra,1 RK,510,1,25.25,Bengaluru
Mangammanapalya,3 BHK,1250,3,56,Bengaluru
Electronic City,2 BHK,660,1,23.1,Bengaluru
Whitefield,3 BHK,1610,3,81,Bengaluru
Ramagondanahalli,2 BHK,1151,2,48.77,Bengaluru
Electronic City,3 BHK,1025,2,47,Bengaluru
Yelahanka,4 BHK,2100 - 2850,4,186,Bengaluru
Bisuvanahalli,3 BHK,1075,2,35,Bengaluru
Hebbal,3 BHK,1760,2,123,Bengaluru
Raja Rajeshwari Nagar,3 BHK,1693,3,57.39,Bengaluru
Kasturi Nagar,3 BHK,1925,3,125,Bengaluru
Kanakpura Road,2 BHK,700,2,36,Bengaluru
Electronics City Phase 1,2 BHK,1070,2,45.5,Bengaluru
Kundalahalli,3 BHK,1724,3,125,Bengaluru
Chikkalasandra,3 BHK,1290,2,56.12,Bengaluru
Uttarahalli,2 BHK,1143,2,45,Bengaluru
Murugeshpalya,2 BHK,1296,2,81,Bengaluru
Sarjapur  Road,3 BHK,1254,3,38,Bengaluru
Ganga Nagar,1 BHK,600,1,38,Bengaluru
Yelahanka,1 Bedroom,660,1,48,Bengaluru
Kanakpura Road,2 BHK,1330.74,2,91.79,Bengaluru
HSR Layout,8 Bedroom,600,9,200,Bengaluru
Doddathoguru,2 BHK,970,2,33,Bengaluru
Whitefield,2 BHK,1459,2,94.82,Bengaluru
KR Puram,2 Bedroom,800,1,130,Bengaluru
Himagiri Meadows,2 BHK,869,2,36,Bengaluru
Adarsh Nagar,2 BHK,1270,2,50,Bengaluru
Bhoganhalli,3 BHK,1670,3,99,Bengaluru
Whitefield,3 BHK,2010,3,91,Bengaluru
Lakshminarayana Pura,2 BHK,1185,2,75,Bengaluru
Yelahanka,3 BHK,1600,2,75,Bengaluru
Begur Road,2 BHK,1200,2,44,Bengaluru
Devanahalli,4 Bedroom,3010 - 3410,,192,Bengaluru
Ramakrishnappa Layout,2 BHK,1500,2,185,Bengaluru
Murugeshpalya,6 Bedroom,1407,4,150,Bengaluru
Govindaraja Nagar Ward,2 BHK,840,2,45,Bengaluru
Tharabanahalli,3 Bedroom,4395,3,240,Bengaluru
Ganga Nagar,2 BHK,845,2,55,Bengaluru
Whitefield,4 Bedroom,5700,5,650,Bengaluru
Varthur,2 BHK,1160,2,44,Bengaluru
Bommanahalli,8 Bedroom,3000,8,140,Bengaluru
Doddathoguru,2 BHK,1100,2,62,Bengaluru
Gunjur,2 BHK,1140,2,43,Bengaluru
Marathahalli,2 BHK,1220,2,57,Bengaluru
Devarachikkanahalli,8 Bedroom,1350,7,85,Bengaluru
Kanakpura Road,2 BHK,1005,2,36.68,Bengaluru
Double Road,3 Bedroom,500,3,100,Bengaluru
Begur Road,2 BHK,1358,2,80.58,Bengaluru
Hegde Nagar,3 BHK,1569,3,101,Bengaluru
Haralur Road,2 BHK,1240,2,70,Bengaluru
Hennur Road,3 BHK,2089,3,140,Bengaluru
Kothannur,2 BHK,1206,2,48.23,Bengaluru
Kalena Agrahara,2 BHK,1150,2,40,Bengaluru
Cholanayakanahalli,3 BHK,2511,3,205,Bengaluru
Kaval Byrasandra,2 BHK,460,1,22,Bengaluru
ISRO Layout,6 Bedroom,4400,6,250,Bengaluru
Kodanda Reddy Layout,3 BHK,1660,2,105,Bengaluru
Hennur Road,4 Bedroom,2957 - 3450,,224.5,Bengaluru
Yelahanka,2 BHK,1326,2,78,Bengaluru
Garudachar Palya,3 BHK,1325,2,60.8,Bengaluru
