location,size,total_sqft,bath,price,Place,bhk
Karapakkam,1 bhk,1004,1,76,Chennai,1
Anna Nagar,2 bhk,1986,1,217.1777,Chennai,2
Adyar,1 bhk,909,1,131.592,Chennai,1
Velachery,3 bhk,1855,2,96.3029,Chennai,3
Karapakkam,1 bhk,1226,1,74.0625,Chennai,1
Chrompet,2 bhk,1220,1,123.9475,Chennai,2
Chrompet,1 bhk,1167,1,84.8879,Chennai,1
Velachery,3 bhk,1847,2,168.0025,Chennai,3
Chrompet,1 bhk,771,1,83.0897,Chennai,1
Velachery,2 bhk,1635,1,80.8365,Chennai,2
Chrompet,2 bhk,1203,1,149.38,Chennai,2
Chrompet,1 bhk,1054,1,94.4973,Chennai,1
Chrompet,1 bhk,1196,1,87.7437,Chennai,1
Adyar,1 bhk,1056,1,93.8649,Chennai,1
Velachery,3 bhk,1865,2,154.9968,Chennai,3
Velachery,3 bhk,1868,2,157.1408,Chennai,3
Karapakkam,2 bhk,1639,2,86.56,Chennai,2
Chrompet,1 bhk,796,1,109.1255,Chennai,1
Adyar,1 bhk,1136,1,82.8755,Chennai,1
Anna Nagar,2 bhk,1902,1,212.0324,Chennai,2
Chrompet,1 bhk,1069,1,109.0553,Chennai,1
Chrompet,1 bhk,931,1,91.8597,Chennai,1
KK Nagar,3 bhk,2010,2,109.254,Chennai,3
Chrompet,1 bhk,1074,1,96.2738,Chennai,1
TNagar,2 bhk,1972,1,139.2276,Chennai,2
T Nagar,1 bhk,1685,1,126.0108,Chennai,1
Adyar,1 bhk,1130,1,133.8335,Chennai,1
Karapakkam,1 bhk,1301,1,79.39625,Chennai,1
Adyar,1 bhk,730,1,88.48285,Chennai,1
T Nagar,2 bhk,1806,1,113.382,Chennai,2
Anna Nagar,2 bhk,1981,1,128.7243,Chennai,2
Adyar,1 bhk,868,1,90.4205,Chennai,1
T Nagar,1 bhk,1721,1,148.7438,Chennai,1
Velachery,2 bhk,1755,1,102.2238,Chennai,2
Anna Nagar,1 bhk,1709,1,129.2859,Chennai,1
KK Nagar,3 bhk,2114,2,175.6482,Chennai,3
Karapakkam,1 bhk,1226,1,49.7125,Chennai,1
Velachery,2 bhk,1648,1,91.7066,Chennai,2
Chrompet,1 bhk,856,1,103.8342,Chennai,1
Adyar,1 bhk,904,1,116.014,Chennai,1
Chrompet,1 bhk,1198,1,82.4926,Chennai,1
Karapakkam,1 bhk,931,1,69.445,Chennai,1
Karapakkam,1 bhk,1290,1,77.45,Chennai,1
Karapakkam,1 bhk,507,1,57.28,Chennai,1
KK Nagar,4 bhk,2492,2,187.2552,Chennai,4
Karapakkam,1 bhk,851,1,35.7225,Chennai,1
T Nagar,2 bhk,1882,1,160.5158,Chennai,2
Anna Nagar,1 bhk,1710,1,202.1597,Chennai,1
Karapakkam,2 bhk,1412,2,83.79,Chennai,2
Adyar,1 bhk,779,1,52.90635,Chennai,1
T Nagar,1 bhk,1655,1,125.4893,Chennai,1
Karapakkam,1 bhk,940,1,58.5775,Chennai,1
KK Nagar,2 bhk,1667,1,107.297,Chennai,2
KK Nagar,3 bhk,1926,2,170.0678,Chennai,3
Adyar,1 bhk,718,1,55.7005,Chennai,1
Karapakkam,1 bhk,545,1,38.54375,Chennai,1
Karapakkam,1 bhk,1249,1,85.94875,Chennai,1
T Nagar,2 bhk,1894,1,135.4925,Chennai,2
Karapakkam,2 bhk,1469,2,94.8075,Chennai,2
Adyar,1 bhk,916,1,58.4752,Chennai,1
Chrompet,1 bhk,934,1,97.109,Chennai,1
Karapakkam,2 bhk,1691,2,93.9875,Chennai,2
Karapakkam,1 bhk,1236,1,88.0625,Chennai,1
T Nagar,1 bhk,1577,1,120.8733,Chennai,1
Anna Nagar,2 bhk,1915,1,141.7562,Chennai,2
Anna Nagar,1 bhk,1600,1,119.2082,Chennai,1
Velachery,2 bhk,1579,1,133.6473,Chennai,2
Adyar,2 bhk,1260,2,69.22975,Chennai,2
Adyar,1 bhk,1021,1,116.73175,Chennai,1
KK Nagar,3 bhk,2174,2,130.6974,Chennai,3
Anna Nagar,1 bhk,1589,,122.1235,Chennai,1
Adyar,1 bhk,668,1,102.83575,Chennai,1
Velachery,2 bhk,1724,1,89.5648,Chennai,2
Adyar,1 bhk,890,1,71.8735,Chennai,1
Adyar,2 bhk,1218,2,125.7485,Chennai,2
Anna Nagar,1 bhk,1792,1,139.0627,Chennai,1
Karapakkam,2 bhk,1378,2,99.175,Chennai,2
Karapakkam,1 bhk,898,1,86.2975,Chennai,1
