location,size,total_sqft,bath,price,Place,bhk
Rohini Sector 25,3 bhk,800,2,65,Delhi,3
"J R Designers Floors, Rohini Sector 24",2 bhk,750,2,50,Delhi,2
"Citizen Apartment, Rohini Sector 13",2 bhk,950,2,155,Delhi,2
Rohini Sector 24,2 bhk,600,2,42,Delhi,2
"Rohini Sector 24 carpet area 650 sqft status Ready to Move floor 4 out of 4 floors transaction New Property furnishing Semi-Furnished facing East overlooking Garden/Park, Main Road car parking 1 Open bathroom 2 balcony 1 ownership Freehold Newly Constructed Property Newly Constructed Property East Facing Property 2BHK Newly build property for Sale. A House is waiting for a Friendly Family to make it a lovely home.So please come and make his house feel alive once again. read more Contact Agent View Phone No. Share Feedback Garima properties Certified Agent Trusted by Users Genuine Listings Market Knowledge",2 bhk,650,2,62,Delhi,2
Rohini Sector 24,4 bhk,1300,3,155,Delhi,4
Rohini Sector 24,4 bhk,1350,3,100,Delhi,4
"Delhi Homes, Rohini Sector 24",2 bhk,650,2,40,Delhi,2
Rohini Sector 21,3 bhk,985,3,68,Delhi,3
Rohini Sector 22,4 bhk,1300,4,150,Delhi,4
Rohini Sector 20,3 bhk,1100,2,62,Delhi,3
Rohini Sector 25,3 bhk,870,2,77,Delhi,3
Rohini Sector 24,2 bhk,630,2,55,Delhi,2
Rohini Sector 24,2 bhk,660,2,50,Delhi,2
Rohini Sector 8 How Auctions work? The borrower has the physical possession of the Property. However the lender (Bank) can legally sell the Property. super area 32 sqm status Ready to Move floor 1 transaction Resale furnishing Semi-Furnished Contact Now Enquire Now Auction By,2 bhk,344.4448,2,33.1,Delhi,2
"Rohini Sector 25 carpet area 660 sqft status Ready to Move floor 2 out of 4 floors transaction New Property furnishing Semi-Furnished facing North overlooking Garden/Park, Main Road car parking 1 Open bathroom 2 balcony 1 ownership Freehold Newly Constructed Property Newly Constructed Property Near by Ryan international school 2BHK Located on the Ground Floor of a four story building with open parking the flat measure 720 Sq Ft the property is located in a green and plush sector with common parks opposite every lane and bus and auto stand nearby. its situated 1.5 km from the metro station and walkable distance from shopping distance from shopping complex. read more Contact Agent View Phone No. Share Feedback Know your Certified Agent CRISIL Rating No of Employees 9 Kulwant & Company Certified Agent Trusted by Users Genuine Listings 5500+ Buyers Served",2 bhk,660,2,47,Delhi,2
Rohini Sector 22,2 bhk,550,2,45,Delhi,2
Rohini Sector 16,4 bhk,1100,3,170,Delhi,4
Rohini Sector 14,3 bhk,1150,3,250,Delhi,3
Rohini Sector 24,2 bhk,650,2,60,Delhi,2
"Mayur Apartment, Rohini Sector 9",2 bhk,850,2,110,Delhi,2
"Vijay Vihar, Rohini",3 bhk,900,2,45,Delhi,3
