location,size,total_sqft,bath,price,Place
Electronic City Phase II,2 BHK,1056,2.0,39.07,Bengaluru
Chikka Tirupathi,4 Bedroom,2600,5.0,120.0,Bengaluru
Uttarahalli,3 BHK,1440,2.0,62.0,Bengaluru
Lingadheeranahalli,3 BHK,1521,3.0,95.0,Bengaluru
Kothanur,2 BHK,1200,2.0,51.0,Bengaluru
Whitefield,2 BHK,1170,2.0,38.0,Bengaluru
Old Airport Road,4 BHK,2732,4.0,204.0,Bengaluru
Rajaji Nagar,4 BHK,3300,4.0,600.0,Bengaluru
Marathahalli,3 BHK,1310,3.0,63.25,Bengaluru
Gandhi Bazar,6 Bedroom,1020,6.0,370.0,Bengaluru
Whitefield,3 BHK,1800,2.0,70.0,Bengaluru
Whitefield,4 Bedroom,2785,5.0,295.0,Bengaluru
7th Phase JP Nagar,2 BHK,1000,2.0,38.0,Bengaluru
Gottigere,2 BHK,1100,2.0,40.0,Bengaluru
Sarjapur,3 Bedroom,2250,3.0,148.0,Bengaluru
Mysore Road,2 BHK,1175,2.0,73.5,Bengaluru
Bisuvanahalli,3 BHK,1180,3.0,48.0,Bengaluru
Raja Rajeshwari Nagar,3 BHK,1540,3.0,60.0,Bengaluru
Ramakrishnappa Layout,3 BHK,2770,4.0,290.0,Bengaluru
Manayata Tech Park,2 BHK,1100,2.0,48.0,Bengaluru
Kengeri,1 BHK,600,1.0,15.0,Bengaluru
Binny Pete,3 BHK,1755,3.0,122.0,Bengaluru
Thanisandra,4 Bedroom,2800,5.0,380.0,Bengaluru
Bellandur,3 BHK,1767,3.0,103.0,Bengaluru
 Thanisandra,1 RK,510,1.0,25.25,Bengaluru
Mangammanapalya,3 BHK,1250,3.0,56.0,Bengaluru
Electronic City,2 BHK,660,1.0,23.1,Bengaluru
Whitefield,3 BHK,1610,3.0,81.0,Bengaluru
Ramagondanahalli,2 BHK,1151,2.0,48.77,Bengaluru
Electronic City,3 BHK,1025,2.0,47.0,Bengaluru
Yelahanka,4 BHK,2100 - 2850,4.0,186.0,Bengaluru
Bisuvanahalli,3 BHK,1075,2.0,35.0,Bengaluru
Hebbal,3 BHK,1760,2.0,123.0,Bengaluru
Raja Rajeshwari Nagar,3 BHK,1693,3.0,57.39,Bengaluru
Kasturi Nagar,3 BHK,1925,3.0,125.0,Bengaluru
Kanakpura Road,2 BHK,700,2.0,36.0,Bengaluru
Electronics City Phase 1,2 BHK,1070,2.0,45.5,Bengaluru
Kundalahalli,3 BHK,1724,3.0,125.0,Bengaluru
Chikkalasandra,3 BHK,1290,2.0,56.12,Bengaluru
Uttarahalli,2 BHK,1143,2.0,45.0,Bengaluru
Murugeshpalya,2 BHK,1296,2.0,81.0,Bengaluru
Sarjapur  Road,3 BHK,1254,3.0,38.0,Bengaluru
Ganga Nagar,1 BHK,600,1.0,38.0,Bengaluru
Yelahanka,1 Bedroom,660,1.0,48.0,Bengaluru
Kanakpura Road,2 BHK,1330.74,2.0,91.79,Bengaluru
HSR Layout,8 Bedroom,600,9.0,200.0,Bengaluru
Doddathoguru,2 BHK,970,2.0,33.0,Bengaluru
Whitefield,2 BHK,1459,2.0,94.82,Bengaluru
KR Puram,2 Bedroom,800,1.0,130.0,Bengaluru
Himagiri Meadows,2 BHK,869,2.0,36.0,Bengaluru
Adarsh Nagar,2 BHK,1270,2.0,50.0,Bengaluru
Bhoganhalli,3 BHK,1670,3.0,99.0,Bengaluru
Whitefield,3 BHK,2010,3.0,91.0,Bengaluru
Lakshminarayana Pura,2 BHK,1185,2.0,75.0,Bengaluru
Yelahanka,3 BHK,1600,2.0,75.0,Bengaluru
Begur Road,2 BHK,1200,2.0,44.0,Bengaluru
Devanahalli,4 Bedroom,3010 - 3410,,192.0,Bengaluru
Ramakrishnappa Layout,2 BHK,1500,2.0,185.0,Bengaluru
Murugeshpalya,6 Bedroom,1407,4.0,150.0,Bengaluru
Govindaraja Nagar Ward,2 BHK,840,2.0,45.0,Bengaluru
Tharabanahalli,3 Bedroom,4395,3.0,240.0,Bengaluru
Ganga Nagar,2 BHK,845,2.0,55.0,Bengaluru
Whitefield,4 Bedroom,5700,5.0,650.0,Bengaluru
Varthur,2 BHK,1160,2.0,44.0,Bengaluru
Bommanahalli,8 Bedroom,3000,8.0,140.0,Bengaluru
Doddathoguru,2 BHK,1100,2.0,62.0,Bengaluru
Gunjur,2 BHK,1140,2.0,43.0,Bengaluru
Marathahalli,2 BHK,1220,2.0,57.0,Bengaluru
Devarachikkanahalli,8 Bedroom,1350,7.0,85.0,Bengaluru
Kanakpura Road,2 BHK,1005,2.0,36.68,Bengaluru
Double Road,3 Bedroom,500,3.0,100.0,Bengaluru
Begur Road,2 BHK,1358,2.0,80.58,Bengaluru
